epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,364.702,0.87022,0.72145,1.06439,0.55189,0.55595,0.48102,0.2317,1.86846,1.41253,1.95261,0.00113015,0.00113015,0.00113015
165,366.948,0.89476,0.71763,1.06192,0.54774,0.5361,0.46598,0.22679,1.85247,1.40822,1.92409,0.0011242,0.0011242,0.0011242
166,369.164,0.84654,0.72457,1.07003,0.58842,0.51509,0.47258,0.22672,1.87929,1.41409,1.93821,0.00111825,0.00111825,0.00111825
167,371.314,0.89098,0.7295,1.06418,0.59504,0.4991,0.4556,0.21801,1.88408,1.3829,1.94821,0.0011123,0.0011123,0.0011123
168,373.419,0.83599,0.67642,1.02779,0.58321,0.5149,0.47211,0.21244,1.90985,1.39754,1.99741,0.00110635,0.00110635,0.00110635
169,375.547,0.83643,0.69704,1.0415,0.65242,0.48291,0.50024,0.21747,1.9124,1.45079,2.01995,0.0011004,0.0011004,0.0011004
170,377.65,0.86253,0.69123,1.03419,0.63425,0.50044,0.489,0.21647,1.89038,1.43355,1.99506,0.00109445,0.00109445,0.00109445
171,379.821,0.88527,0.72417,1.05046,0.61064,0.50175,0.46266,0.22077,1.87237,1.45325,1.96168,0.0010885,0.0010885,0.0010885
172,381.922,0.86063,0.69332,1.04545,0.55186,0.53754,0.4831,0.23014,1.84438,1.40908,1.94012,0.00108255,0.00108255,0.00108255
173,384.043,0.86407,0.70645,1.04557,0.5905,0.5404,0.48652,0.23125,1.83239,1.38699,1.94164,0.0010766,0.0010766,0.0010766
174,386.164,0.8493,0.69078,1.03895,0.55179,0.53511,0.47935,0.23126,1.83541,1.41783,1.9334,0.00107065,0.00107065,0.00107065
175,388.261,0.85194,0.69526,1.03824,0.61638,0.52176,0.47552,0.23269,1.83267,1.41623,1.91408,0.0010647,0.0010647,0.0010647
176,390.372,0.87073,0.72222,1.04864,0.61245,0.56766,0.51059,0.23001,1.84598,1.44761,1.92312,0.00105875,0.00105875,0.00105875
177,392.639,0.83875,0.6837,1.02154,0.61566,0.51051,0.47903,0.22901,1.82971,1.40526,1.93077,0.0010528,0.0010528,0.0010528
